"rank","title","growth..30.days.","price","X5.star.ratings","X4.star.ratings","X3.star.ratings","X2.star.ratings","X1.star.ratings","category_num2","int_installs"
30,"Mahjong Epic",0.2,0,277481,88066,17967,2328,4137,4,5e+06
31,"Tic Tac Toe",0.1,0,244641,40616,24172,10846,35128,4,5e+07
32,"Backgammon Free",0.3,0,231256,65515,21098,8965,22747,4,1e+07
33,"Dominos Online Jogatina: Dominoes Game Free",0.7,0,227594,57334,27137,9633,25693,4,1e+07
34,"Mahjong City Tours: Free Mahjong Classic Game",2.4,0,244001,45906,16466,4089,8277,4,5e+06
35,"Bingo Party - Free Classic Bingo Games Online",0.7,0,245490,34351,15626,5188,8927,4,5e+06
36,"Rento - Dice Board Game Online",0.5,0,177871,52454,25381,11298,42488,4,1e+07
37,"Snakes & Ladders King",0.1,0,189211,25983,21594,13746,51726,4,5e+07
38,"Game of Dice",0.2,0,194903,45471,19753,8702,25877,4,5e+06
39,"Pinball Pro",0,0,189857,46146,23996,6930,15818,4,1e+07
40,"Checkers Online Elite",0,0,186192,33365,18596,8124,30717,4,1e+07
41,"Woody Block Puzzle ®",0.5,0,194695,43443,12515,6727,16853,4,1e+07
42,"Good Knight Story",0.1,0,197485,54778,10325,1865,2823,4,1e+06
43,"Bingo Pop: Free Live Multiplayer Bingo Board Games",0.6,0,203767,25302,11667,6012,12899,4,1e+07
44,"Backgammon - Narde",1.4,0,197295,23514,6517,4181,27845,4,1e+07
45,"Tap Color - Color by number. Coloring Game",0.4,0,201149,19660,10893,6291,16360,4,1e+07
46,"RISK: Global Domination",2.3,0,182725,33730,12210,6120,18810,4,1e+07
47,"Slots: Epic Jackpot Slots Games Free & Casino Game",0.9,0,230419,9902,3954,1793,6335,4,1e+06
48,"Onnect - Pair Matching Puzzle",1.3,0,160741,36216,10826,7118,21940,4,1e+07
49,"Domino Gaple TopFun(Domino QiuQiu):Free dan online",0.2,0,180762,12754,9755,4957,19691,4,1e+06
50,"Ludo SuperStar",2.5,0,147106,20793,12841,9124,33526,4,5e+07
51,"Cờ Tỷ Phú - Co Ty Phu ZingPlay - Board Game",0.6,0,183715,8874,5396,2478,16869,4,5e+06
53,"Mahjong Master",0.2,0,158982,31185,8750,2866,4514,4,1e+07
56,"Ludo Talent- Online Ludo&Chatroom",2.1,0,131997,20385,13564,6494,22640,4,1e+07
57,"YAHTZEE® With Buddies Dice Game",1.9,0,118188,28403,14142,9796,22237,4,1e+07
58,"Backgammon Free - Lord of the Board - Table Game",2.7,0,141982,11168,5861,3967,28059,4,5e+06
59,"Fun 101 Okey",1.6,0,156286,6201,3021,1814,18963,4,5e+06
60,"Tile Craft - Triple Crush: Puzzle matching game",1.9,0,126059,35591,15005,3018,5531,4,5e+06
61,"Travelling Millionaire",0,0,114344,11178,9498,5539,42364,4,5e+06
62,"Dice With Buddies™ Free - The Fun Social Dice Game",0.2,0,114198,27619,13179,8689,18769,4,5e+06
63,"Çanak Okey - Mynet",0.2,0,123134,10298,7945,4302,29998,4,5e+06
64,"Reversi Free",0.1,0,114173,37441,11074,3328,9365,4,5e+06
65,"Ludo Classic",1,0,126431,14308,9286,5131,19828,4,1e+07
66,"Rummikub®",2.8,0,137759,11970,4244,2489,8658,4,5e+06
67,"Checkers",0,0,115060,26941,9353,2808,8004,4,1e+07
68,"Fleet Battle - Sea Battle",1.7,0,105501,25607,10717,3492,7933,4,1e+07
71,"Domino QiuQiu KiuKiu Online(koin gratis)",1.2,0,125960,5830,3677,2013,8341,4,1e+06
73,"Tic Tac Toe Free",0,0,92301,17788,12417,5411,15646,4,1e+07
74,"Einstein's Riddle Logic Puzzles",0.8,0,104877,25249,5085,1533,2057,4,1e+06
76,"Four In A Line Free",0,0,82044,34240,10359,2744,4959,4,5e+06
77,"Ludo All Star - Play Online Ludo Game & Board Game",1.4,0,97866,9935,6656,4095,14479,4,1e+07
78,"인생역전윷놀이",0.1,0,68153,21284,16316,4858,16036,4,1e+06
79,"Slot Casino - Slot Machines",0,0,74055,16364,10363,4762,10773,4,1e+07
80,"Loco Parchís - Magic Ludo & Mega dice! USA Vip Bet",0.5,0,69436,14523,6556,3528,17271,4,1e+06
81,"Carrom 3D",0.2,0,66708,11294,7706,4897,20440,4,1e+07
83,"Chess for Android",0,0,72389,12983,8377,3143,12207,4,1e+07
84,"Sudoku Free",0,0,73648,25459,3329,1049,1239,4,5e+06
85,"lichess • Free Online Chess",3.8,0,83048,9467,3357,1624,7060,4,5e+06
86,"Truth or Dare — Dirty Party Game for Adults 18+",0.5,0,63403,13852,8674,4367,13592,4,5e+06
87,"Slots: Fast Fortune Free Casino Slots with Bonus",1.1,0,92461,4295,2027,929,3216,4,1e+06
88,"Loto Online",0.9,0,70873,6115,4916,3177,16629,4,5e+06
89,"Dr. Chess",0,0,68495,12682,7061,2562,9335,4,1e+06
90,"World Chess Championship",0.4,0,67221,12430,6504,2823,10944,4,5e+06
91,"Domino! The world's largest dominoes community",0.3,0,63985,17116,6866,3283,7645,4,5e+06
92,"Chess Online",3.2,0,67743,13474,6677,2525,7206,4,1e+06
93,"Backgammon Live: Play Online Backgammon Free Games",1.7,0,71134,12522,2913,1237,9698,4,1e+06
94,"Praia Bingo - Bingo Games + Slot + Casino",1.6,0,68369,9214,5156,2838,11852,4,5e+06
95,"Super Bingo HD™: Best Free Bingo Games",0,0,69024,13635,7012,2483,4628,4,1e+06
97,"Okey Extra",0.6,0,82594,2693,1212,646,6072,4,1e+06
98,"Dr. Gomoku",0.1,0,51992,14387,8518,3209,14198,4,5e+06
100,"Color by Number: Free Coloring Games - Paint Book",2.8,0,63844,8225,5410,3104,10810,4,1e+07
3,"Solitaire",0.5,0,432066,90340,39912,15917,69906,5,1e+08
3,"Solitaire",0.5,0,408570,47577,16761,6353,18469,5,1e+08
4,"World Series of Poker WSOP Free Texas Holdem Poker",0.7,0,963845,193536,78854,36877,122410,5,5e+07
5,"Live Hold’em Pro Poker - Free Casino Games",0,0,703968,191418,84231,34897,106358,5,1e+07
6,"Pyramid Solitaire Saga",0.1,0,790349,173398,53929,15278,33527,5,1e+07
7,"UNO!™",2.6,0,593833,78143,46322,27757,117389,5,5e+07
8,"Solitaire Grand Harvest - Free Tripeaks Solitaire",2.2,0,634927,109546,30343,16253,42441,5,1e+07
9,"Solitaire",0,0,432066,90340,39912,15917,69906,5,5e+07
9,"Solitaire",0,0,408570,47577,16761,6353,18469,5,5e+07
10,"Solitaire TriPeaks: Play Free Solitaire Card Games",1,0,442260,117497,37079,13354,30552,5,1e+07
11,"Fairway Solitaire Blast",0,0,437316,91620,19548,3389,6279,5,5e+06
12,"Gin Rummy Plus",0.9,0,423267,57548,24886,10084,36459,5,1e+07
13,"Spider Solitaire",1.2,0,387835,86497,22455,7049,16644,5,1e+07
14,"Solitaire",1.1,0,432066,90340,39912,15917,69906,5,5e+07
14,"Solitaire",1.1,0,408570,47577,16761,6353,18469,5,5e+07
15,"Truco Blyts",0.6,0,347113,86346,30669,9084,21683,5,1e+07
16,"Poker Games: World Poker Club",0.8,0,399382,31069,9279,6049,42809,5,1e+07
17,"Deck Heroes: Legacy",0,0,342790,41145,25513,13298,47005,5,1e+07
18,"Legends of Runeterra",3,0,376619,50048,13116,6299,23197,5,1e+07
19,"Durak Online",1.6,0,277736,45889,25538,14753,91609,5,1e+07
20,"Solitaire!",0.1,0,314368,91964,24250,5847,12355,5,1e+07
21,"Solitaire",0.4,0,297701,67830,20540,4800,12386,5,1e+07
21,"Solitaire",0.4,0,241434,65691,20182,7769,17376,5,1e+07
22,"Poker Heat™ - Free Texas Holdem Poker Games",0.2,0,279434,46745,11603,5876,29884,5,5e+06
23,"Solitaire",0.1,0,297701,67830,20540,4800,12386,5,1e+07
